,player_name,team_abbreviation,age,player_height,player_weight,college,country,draft_year,draft_round,draft_number,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct,season
11795,John Collins,ATL,24.0,205.74,102.511792,Wake Forest,USA,2017,1,19,54,16.2,7.8,1.8,0.8,0.055999999999999994,0.19,0.20199999999999999,0.61,0.08800000000000001,2021-22
11796,Joel Embiid,PHI,28.0,213.36,127.00576000000001,Kansas,Cameroon,2014,1,3,68,30.6,11.7,4.2,7.9,0.068,0.273,0.375,0.616,0.23600000000000002,2021-22
11797,Joel Ayayi,WAS,22.0,193.04,81.64656,Gonzaga,France,Undrafted,Undrafted,Undrafted,7,0.3,0.4,0.6,12.2,0.037000000000000005,0.105,0.133,0.16699999999999998,0.364,2021-22
11798,Joe Wieskamp,SAS,22.0,198.12,92.98635999999999,Iowa,USA,2021,2,41,29,2.1,0.5,0.3,1.5,0.017,0.045,0.129,0.494,0.065,2021-22
11799,Joe Johnson,BOS,41.0,200.66,108.86208,Arkansas,USA,2001,1,10,1,2.0,0.0,0.0,-100.0,0.0,0.0,0.2,1.0,0.0,2021-22
11800,Joe Ingles,POR,34.0,203.2,99.79024,None,Australia,Undrafted,Undrafted,Undrafted,45,7.2,2.9,3.5,8.2,0.01,0.099,0.129,0.551,0.195,2021-22
11801,Joe Harris,BKN,30.0,198.12,99.79024,Virginia,USA,2014,2,33,14,11.3,4.0,1.0,1.1,0.012,0.109,0.146,0.624,0.047,2021-22
11802,Jock Landale,SAS,26.0,210.82,115.66596000000001,None,Australia,Undrafted,Undrafted,Undrafted,54,4.9,2.6,0.8,-1.1,0.094,0.11800000000000001,0.172,0.597,0.115,2021-22
11803,Jimmy Butler,MIA,32.0,200.66,104.32616,Marquette,USA,2011,1,30,57,21.4,5.9,5.5,6.1,0.055,0.125,0.26,0.5920000000000001,0.264,2021-22
11804,Jevon Carter,MIL,26.0,185.42,90.7184,West Virginia,USA,2018,2,32,66,4.2,1.7,1.5,-3.0,0.013999999999999999,0.09699999999999999,0.135,0.531,0.14800000000000002,2021-22
11805,Jericho Sims,NYK,23.0,205.74,113.398,Texas-Austin,USA,2021,2,58,41,2.2,4.1,0.5,6.5,0.10800000000000001,0.187,0.068,0.674,0.054000000000000006,2021-22
11806,Jeremy Lamb,SAC,30.0,195.58,81.64656,Connecticut,USA,2012,1,12,56,7.3,2.8,1.4,0.6,0.026000000000000002,0.134,0.18899999999999997,0.521,0.124,2021-22
11807,Jeremiah Robinson-Earl,OKC,21.0,203.2,109.769264,Villanova,USA,2021,2,32,49,7.5,5.6,1.0,-9.8,0.061,0.172,0.152,0.526,0.069,2021-22
11808,Jemerrio Jones,LAL,27.0,195.58,79.3786,New Mexico State,USA,2018,Undrafted,Undrafted,2,2.0,1.5,0.0,-38.0,0.11800000000000001,0.055999999999999994,0.083,0.667,0.0,2021-22
11809,Isaiah Hartenstein,LAC,24.0,213.36,113.398,None,Germany,2017,2,43,68,8.3,4.9,2.4,7.0,0.09699999999999999,0.158,0.177,0.664,0.193,2021-22
11810,Jaren Jackson Jr.,MEM,22.0,210.82,109.769264,Michigan State,USA,2018,1,4,78,16.3,5.8,1.1,7.9,0.05,0.145,0.248,0.535,0.057999999999999996,2021-22
11811,Jared Butler,UTA,21.0,190.5,87.543256,Baylor,USA,2021,2,40,42,3.8,1.1,1.5,-0.1,0.013999999999999999,0.102,0.221,0.509,0.258,2021-22
11812,Jabari Parker,BOS,27.0,200.66,111.13004,Duke,USA,2014,1,2,12,4.4,2.3,0.5,-0.8,0.042,0.18,0.191,0.632,0.094,2021-22
11813,JaVale McGee,PHX,34.0,213.36,122.46983999999999,Nevada-Reno,USA,2008,1,18,74,9.2,6.7,0.6,5.8,0.134,0.266,0.214,0.6509999999999999,0.055,2021-22
11814,JaQuori McLaughlin,DAL,24.0,193.04,86.18248,Cal-Santa Barbara,USA,Undrafted,Undrafted,Undrafted,4,0.0,0.0,0.5,-34.6,0.0,0.0,0.065,0.0,0.2,2021-22
11815,JaMychal Green,DEN,32.0,203.2,102.965384,Alabama,USA,Undrafted,Undrafted,Undrafted,67,6.4,4.2,0.9,-3.5,0.073,0.187,0.168,0.5870000000000001,0.084,2021-22
11816,Ja Morant,MEM,22.0,190.5,78.92500799999999,Murray State,USA,2019,1,2,57,27.4,5.7,6.7,4.1,0.037000000000000005,0.124,0.33,0.575,0.33,2021-22
11817,JT Thor,CHA,19.0,205.74,92.079176,Auburn,USA,2021,2,37,33,2.0,1.3,0.6,0.3,0.04,0.111,0.11599999999999999,0.525,0.09699999999999999,2021-22
11818,Ivica Zubac,LAC,25.0,213.36,108.86208,None,Croatia,2016,2,32,76,10.3,8.5,1.6,-3.5,0.115,0.223,0.168,0.66,0.09699999999999999,2021-22
11819,Ish Wainright,PHX,27.0,195.58,113.398,Baylor,USA,Undrafted,Undrafted,Undrafted,45,2.4,1.2,0.3,5.6,0.066,0.07200000000000001,0.134,0.494,0.057,2021-22
11820,Ish Smith,WAS,33.0,182.88,79.3786,Wake Forest,USA,Undrafted,Undrafted,Undrafted,65,6.3,2.2,3.8,-6.7,0.021,0.1,0.195,0.465,0.318,2021-22
11821,Isaiah Todd,WAS,20.0,205.74,99.336648,None,USA,2021,2,31,12,1.7,1.0,0.3,-15.6,0.034,0.12300000000000001,0.188,0.349,0.095,2021-22
11822,Isaiah Thomas,CHA,33.0,175.26,83.91452,Washington,USA,2011,2,60,22,8.4,1.3,1.5,-1.3,0.012,0.071,0.245,0.516,0.155,2021-22
11823,Isaiah Stewart,DET,21.0,203.2,113.398,Washington,USA,2020,1,16,71,8.3,8.7,1.2,-9.5,0.111,0.217,0.14400000000000002,0.55,0.07,2021-22
11824,Isaiah Roby,OKC,24.0,203.2,104.32616,Nebraska-Lincoln,USA,2019,2,45,45,10.1,4.8,1.6,-8.8,0.07400000000000001,0.145,0.185,0.607,0.11699999999999999,2021-22
11825,Isaiah Livers,DET,23.0,198.12,105.23334399999999,Michigan,USA,2021,2,42,19,6.4,3.0,1.1,-0.8,0.037000000000000005,0.109,0.125,0.629,0.077,2021-22
11826,Isaiah Joe,PHI,22.0,193.04,74.84268,Arkansas,USA,2020,2,49,55,3.6,1.0,0.6,1.7,0.01,0.079,0.14400000000000002,0.519,0.08,2021-22
11827,Jaden McDaniels,MIN,21.0,205.74,83.91452,Washington,USA,2020,1,28,70,9.2,4.2,1.1,0.6,0.038,0.115,0.149,0.5529999999999999,0.063,2021-22
11828,Jared Harper,NOP,24.0,177.8,79.3786,Auburn,USA,Undrafted,Undrafted,Undrafted,5,7.4,0.4,2.8,9.8,0.047,0.0,0.287,0.6659999999999999,0.5379999999999999,2021-22
11829,Jaden Springer,PHI,19.0,193.04,91.625584,Tennessee,USA,2021,1,28,2,1.0,1.0,0.0,-72.4,0.14300000000000002,0.125,0.11800000000000001,1.0,0.0,2021-22
11830,Jae'Sean Tate,HOU,26.0,193.04,104.32616,Ohio State,USA,Undrafted,Undrafted,Undrafted,78,11.8,5.4,2.8,-8.9,0.063,0.135,0.19399999999999998,0.5670000000000001,0.171,2021-22
11831,Jamorko Pickett,DET,24.0,205.74,93.439952,Georgetown,USA,Undrafted,Undrafted,Undrafted,13,3.8,2.5,0.5,0.3,0.032,0.141,0.133,0.491,0.057,2021-22
11832,James Johnson,BKN,35.0,200.66,108.86208,Wake Forest,USA,2009,1,16,62,5.5,3.5,2.1,-1.6,0.040999999999999995,0.127,0.136,0.513,0.153,2021-22
11833,James Harden,PHI,32.0,195.58,99.79024,Arizona State,USA,2009,1,3,65,22.0,7.7,10.3,3.5,0.024,0.17600000000000002,0.266,0.583,0.401,2021-22
11834,James Ennis III,DEN,31.0,198.12,97.52228000000001,Cal State-Long Beach,USA,2013,2,50,7,4.1,1.7,0.4,0.9,0.086,0.121,0.20600000000000002,0.5529999999999999,0.081,2021-22
11835,James Bouknight,CHA,21.0,193.04,86.18248,Connecticut,USA,2021,1,11,31,4.6,1.7,0.8,-6.2,0.064,0.09,0.226,0.45899999999999996,0.132,2021-22
11836,Jalen Suggs,ORL,21.0,195.58,92.98635999999999,Gonzaga,USA,2021,1,5,48,11.8,3.6,4.4,-7.1,0.019,0.102,0.244,0.455,0.249,2021-22
11837,Jalen Smith,IND,22.0,208.28,97.52228000000001,Maryland,USA,2020,1,10,51,9.2,6.0,0.5,2.7,0.10099999999999999,0.21600000000000003,0.193,0.595,0.038,2021-22
11838,Jalen McDaniels,CHA,24.0,205.74,92.98635999999999,San Diego State,USA,2019,2,52,55,6.2,3.1,1.1,2.6,0.039,0.138,0.152,0.595,0.08900000000000001,2021-22
11839,Jalen Johnson,ATL,20.0,203.2,99.336648,Duke,USA,2021,1,20,22,2.4,1.2,0.1,-10.0,0.016,0.175,0.183,0.59,0.045,2021-22
11840,Jalen Green,HOU,20.0,193.04,84.368112,None,USA,2021,1,2,67,17.3,3.4,2.6,-11.3,0.015,0.08800000000000001,0.23399999999999999,0.547,0.132,2021-22
11841,Jalen Brunson,DAL,25.0,185.42,86.18248,Villanova,USA,2018,2,33,79,16.3,3.9,4.8,4.4,0.017,0.105,0.215,0.583,0.237,2021-22
11842,Jakob Poeltl,SAS,26.0,215.9,111.13004,Utah,Austria,2016,1,9,68,13.5,9.3,2.8,3.4,0.125,0.184,0.182,0.613,0.131,2021-22
11843,Jake Layman,MIN,28.0,203.2,94.800728,Maryland,USA,2016,2,47,34,2.4,1.1,0.3,-3.4,0.025,0.12300000000000001,0.16,0.5,0.055,2021-22
11844,Jaime Echenique,WAS,25.0,208.28,117.02673600000001,Wichita State,Colombia,Undrafted,Undrafted,Undrafted,1,0.0,0.0,0.0,-30.0,0.0,0.0,0.0,0.0,0.0,2021-22
11845,Jahmi'us Ramsey,SAC,21.0,190.5,86.18248,Texas Tech,USA,2020,2,43,19,3.2,0.7,0.4,-6.0,0.027000000000000003,0.068,0.20800000000000002,0.46799999999999997,0.075,2021-22
11846,Jae Crowder,PHX,31.0,198.12,106.59411999999999,Marquette,USA,2012,2,34,67,9.4,5.3,1.9,10.2,0.017,0.16,0.146,0.541,0.08,2021-22
11847,Devin Cannady,ORL,26.0,187.96,83.007336,Princeton,USA,2019,Undrafted,Undrafted,5,10.0,1.2,2.0,-2.6,0.006,0.032,0.156,0.531,0.102,2021-22
11848,Cody Zeller,POR,29.0,210.82,108.86208,Indiana,USA,2013,1,4,27,5.2,4.6,0.8,-2.1,0.128,0.212,0.153,0.627,0.087,2021-22
11849,Desmond Bane,MEM,24.0,195.58,97.52228000000001,TCU,USA,2020,1,30,76,18.2,4.4,2.7,6.9,0.018000000000000002,0.11800000000000001,0.226,0.5920000000000001,0.136,2021-22
11850,Braxton Key,DET,25.0,203.2,102.0582,Virginia,USA,Undrafted,Undrafted,Undrafted,11,7.2,4.5,1.0,8.0,0.057999999999999996,0.187,0.184,0.508,0.077,2021-22
11851,Brandon Williams,POR,22.0,187.96,86.18248,Arizona,USA,Undrafted,Undrafted,Undrafted,24,12.9,3.1,3.9,-20.4,0.026000000000000002,0.08900000000000001,0.24600000000000002,0.47600000000000003,0.235,2021-22
11852,Brandon Knight,DAL,30.0,187.96,82.553744,Kentucky,USA,2011,1,8,5,6.4,1.6,1.6,-3.6,0.0,0.098,0.21600000000000003,0.561,0.2,2021-22
11853,Brandon Ingram,NOP,24.0,203.2,86.18248,Duke,USA,2016,1,2,55,22.7,5.8,5.6,3.3,0.019,0.152,0.29100000000000004,0.5539999999999999,0.268,2021-22
11854,Brandon Goodwin,CLE,26.0,182.88,81.64656,Florida Gulf Coast,USA,Undrafted,Undrafted,Undrafted,36,4.8,1.9,2.5,-6.3,0.027999999999999997,0.11,0.177,0.501,0.278,2021-22
11855,Brandon Clarke,MEM,25.0,203.2,97.52228000000001,Gonzaga,Canada,2019,1,21,64,10.4,5.3,1.3,7.5,0.099,0.14800000000000002,0.171,0.66,0.10099999999999999,2021-22
11856,Brandon Boston,LAC,20.0,198.12,85.275296,Kentucky,USA,2021,2,51,51,6.7,2.2,1.0,-2.0,0.02,0.111,0.212,0.48100000000000004,0.10300000000000001,2021-22
11857,Bradley Beal,WAS,29.0,193.04,93.89354399999999,Florida,USA,2012,1,3,40,23.2,4.7,6.6,-3.5,0.026000000000000002,0.099,0.297,0.539,0.309,2021-22
11858,Brad Wanamaker,WAS,32.0,190.5,95.25432,Pittsburgh,USA,Undrafted,Undrafted,Undrafted,23,3.6,1.7,2.4,-6.4,0.018000000000000002,0.107,0.146,0.47200000000000003,0.243,2021-22
11859,Bones Hyland,DEN,21.0,187.96,76.657048,Virginia Commonwealth,USA,2021,1,26,69,10.1,2.7,2.8,1.7,0.011000000000000001,0.133,0.231,0.5579999999999999,0.22,2021-22
11860,Bol Bol,ORL,22.0,218.44,99.79024,Oregon,Sudan,2019,2,44,14,2.4,1.4,0.4,0.5,0.049,0.21100000000000002,0.16,0.565,0.102,2021-22
11861,Bojan Bogdanovic,UTA,33.0,200.66,102.511792,None,Croatia,2011,2,31,69,18.1,4.3,1.7,4.8,0.027000000000000003,0.106,0.23199999999999998,0.599,0.086,2021-22
11862,Bogdan Bogdanovic,ATL,29.0,198.12,102.0582,None,Serbia,2014,1,27,63,15.1,4.0,3.1,4.5,0.016,0.11599999999999999,0.212,0.562,0.152,2021-22
11863,Bobby Portis,MIL,27.0,208.28,113.398,Arkansas,USA,2015,1,22,72,14.6,9.1,1.2,6.3,0.085,0.218,0.207,0.5710000000000001,0.061,2021-22
11864,Boban Marjanovic,DAL,33.0,220.98,131.54168,None,Serbia,Undrafted,Undrafted,Undrafted,23,4.3,1.7,0.1,12.8,0.066,0.228,0.311,0.615,0.044000000000000004,2021-22
11865,Brodric Thomas,BOS,25.0,195.58,83.91452,Truman State,USA,Undrafted,Undrafted,Undrafted,12,1.8,0.8,0.9,3.0,0.034,0.10300000000000001,0.172,0.52,0.239,2021-22
11866,Blake Griffin,BKN,33.0,205.74,113.398,Oklahoma,USA,2009,1,1,56,6.4,4.1,1.9,-4.7,0.061,0.16899999999999998,0.16699999999999998,0.518,0.157,2021-22
11867,Brook Lopez,MIL,34.0,213.36,127.912944,Stanford,USA,2008,1,10,13,12.4,4.1,0.5,-1.4,0.057999999999999996,0.10800000000000001,0.21100000000000002,0.57,0.03,2021-22
11868,Bruno Fernando,HOU,23.0,205.74,108.86208,Maryland,Angola,2019,2,34,30,2.9,1.8,0.2,-10.1,0.102,0.223,0.19699999999999998,0.6709999999999999,0.08199999999999999,2021-22
11869,Carlik Jones,DEN,24.0,182.88,78.92500799999999,Texas Legends,USA,Undrafted,Undrafted,Undrafted,5,0.8,0.6,1.0,-33.1,0.042,0.069,0.22,0.20199999999999999,0.41700000000000004,2021-22
11870,Caris LeVert,CLE,27.0,198.12,92.98635999999999,Michigan,USA,2016,1,20,58,17.0,3.7,4.3,-1.8,0.024,0.09699999999999999,0.252,0.525,0.21899999999999997,2021-22
11871,Cameron Payne,PHX,27.0,185.42,83.007336,Murray State,USA,2015,1,14,58,10.8,3.0,4.9,6.3,0.018000000000000002,0.109,0.235,0.5,0.318,2021-22
11872,Cameron Oliver,ATL,25.0,203.2,108.40848799999999,Nevada,USA,Undrafted,Undrafted,Undrafted,2,11.5,3.0,1.5,-0.9,0.051,0.121,0.16699999999999998,0.705,0.09699999999999999,2021-22
11873,Cameron McGriff,POR,24.0,200.66,99.79024,Oklahoma State,USA,Undrafted,Undrafted,Undrafted,3,4.7,5.0,1.0,7.3,0.098,0.209,0.122,0.47,0.086,2021-22
11874,Cameron Johnson,PHX,26.0,203.2,95.25432,North Carolina,USA,2019,1,11,66,12.5,4.1,1.5,6.2,0.023,0.12300000000000001,0.16699999999999998,0.625,0.079,2021-22
11875,Cam Thomas,BKN,20.0,190.5,95.25432,Louisiana State,Japan,2021,1,27,67,8.5,2.4,1.2,-6.4,0.013000000000000001,0.11800000000000001,0.212,0.519,0.102,2021-22
11876,Cam Reddish,NYK,22.0,203.2,98.429464,Duke,USA,2019,1,10,49,10.1,2.1,1.0,-9.8,0.023,0.075,0.213,0.5429999999999999,0.078,2021-22
11877,Caleb Martin,MIA,26.0,195.58,92.98635999999999,Nevada-Reno,USA,Undrafted,Undrafted,Undrafted,60,9.2,3.8,1.1,5.7,0.054000000000000006,0.114,0.158,0.611,0.068,2021-22
11878,Cade Cunningham,DET,20.0,198.12,99.79024,Oklahoma State,USA,2021,1,1,64,17.4,5.5,5.6,-6.2,0.026000000000000002,0.14300000000000002,0.273,0.504,0.28300000000000003,2021-22
11879,CJ Miles,BOS,35.0,198.12,99.79024,No College,USA,2005,2,34,1,0.0,0.0,0.0,-100.0,0.0,0.0,0.0,0.0,0.0,2021-22
11880,CJ McCollum,NOP,30.0,190.5,86.18248,Lehigh,USA,2013,1,10,62,22.1,4.3,5.1,-1.9,0.024,0.10099999999999999,0.26899999999999996,0.5529999999999999,0.23800000000000002,2021-22
11881,CJ Elleby,POR,22.0,198.12,90.7184,Washington State,USA,2020,2,46,58,5.8,3.9,1.5,-14.3,0.052000000000000005,0.141,0.14300000000000002,0.491,0.109,2021-22
11882,Buddy Hield,IND,29.0,193.04,99.79024,Oklahoma,Bahamas,2016,1,6,81,15.6,4.4,2.8,-3.6,0.025,0.114,0.214,0.5479999999999999,0.135,2021-22
11883,Bryn Forbes,DEN,28.0,187.96,92.98635999999999,Michigan State,USA,Undrafted,Undrafted,Undrafted,75,8.8,1.2,1.0,-0.5,0.006999999999999999,0.063,0.201,0.574,0.086,2021-22
11884,Bruce Brown,BKN,25.0,193.04,91.625584,Miami,USA,2018,2,42,72,9.0,4.8,2.1,-0.3,0.055999999999999994,0.13,0.146,0.575,0.114,2021-22
11885,Carmelo Anthony,LAL,38.0,200.66,107.95489599999999,Syracuse,USA,2003,1,3,69,13.3,4.2,1.0,-2.9,0.034,0.11599999999999999,0.195,0.579,0.055999999999999994,2021-22
11886,Bismack Biyombo,PHX,29.0,203.2,115.66596000000001,None,DRC,2011,1,7,36,5.8,4.6,0.6,5.6,0.11699999999999999,0.207,0.16699999999999998,0.596,0.064,2021-22
11887,Bam Adebayo,MIA,24.0,205.74,115.66596000000001,Kentucky,USA,2017,1,14,56,19.1,10.1,3.4,8.1,0.08,0.23399999999999999,0.248,0.608,0.172,2021-22
11888,Alex Len,SAC,29.0,213.36,113.398,Maryland,Ukraine,2013,1,5,39,6.0,4.1,1.2,-5.5,0.076,0.168,0.165,0.5770000000000001,0.10400000000000001,2021-22
11889,Alex Caruso,CHI,28.0,195.58,84.368112,Texas A&M,USA,Undrafted,Undrafted,Undrafted,41,7.4,3.6,4.0,5.1,0.028999999999999998,0.10099999999999999,0.13,0.528,0.19399999999999998,2021-22
11890,Alekesej Pokusevski,OKC,20.0,213.36,86.18248,None,Serbia,2020,1,17,61,7.6,5.2,2.1,-2.5,0.054000000000000006,0.18899999999999997,0.195,0.485,0.161,2021-22
11891,Aleem Ford,ORL,24.0,203.2,99.79024,Wisconsin,USA,Undrafted,Undrafted,Undrafted,5,2.8,3.0,0.4,-22.1,0.027999999999999997,0.16,0.14800000000000002,0.35,0.043,2021-22
11892,Alec Burks,NYK,30.0,198.12,97.068688,Colorado,USA,2011,1,12,81,11.7,4.9,3.0,2.3,0.019,0.14800000000000002,0.171,0.5589999999999999,0.158,2021-22
11893,Al Horford,BOS,36.0,205.74,108.86208,Florida,Dominican Republic,2007,1,3,69,10.2,7.7,3.4,9.3,0.054000000000000006,0.201,0.147,0.574,0.159,2021-22
11894,Ahmad Caver,IND,25.0,187.96,78.92500799999999,Old Dominion,USA,2019,Undrafted,Undrafted,1,2.0,0.0,0.0,133.3,0.0,0.0,0.5,1.0,0.0,2021-22
11895,Admiral Schofield,ORL,25.0,195.58,109.315672,Tennessee,United Kingdom,2019,2,42,38,3.8,2.3,0.7,-13.5,0.033,0.146,0.14300000000000002,0.5379999999999999,0.084,2021-22
11896,Ade Murkey,SAC,24.0,195.58,90.7184,Denver,USA,Undrafted,Undrafted,Undrafted,1,0.0,0.0,0.0,-33.3,0.0,0.0,0.0,0.0,0.0,2021-22
11897,Abdel Nader,PHX,28.0,195.58,102.0582,Iowa State,Egypt,2016,2,58,14,2.4,1.9,0.5,-0.9,0.026000000000000002,0.145,0.139,0.431,0.065,2021-22
11898,Aaron Wiggins,OKC,23.0,193.04,86.18248,Maryland,USA,2021,2,55,50,8.3,3.6,1.4,-8.1,0.04,0.098,0.149,0.556,0.083,2021-22
11899,Aaron Nesmith,BOS,22.0,195.58,97.52228000000001,Vanderbilt,USA,2020,1,14,52,3.8,1.7,0.4,3.0,0.025,0.11699999999999999,0.16399999999999998,0.507,0.057,2021-22
11900,Aaron Holiday,PHX,25.0,182.88,83.91452,UCLA,USA,2018,1,23,63,6.3,1.9,2.4,-1.4,0.023,0.092,0.182,0.544,0.223,2021-22
11901,Aaron Henry,PHI,22.0,195.58,95.25432,Michigan State,USA,Undrafted,Undrafted,Undrafted,6,0.3,0.2,0.0,-56.0,0.0,0.048,0.149,0.2,0.0,2021-22
11902,Aaron Gordon,DEN,26.0,203.2,106.59411999999999,Arizona,USA,2014,1,4,75,15.0,5.9,2.5,6.2,0.057,0.129,0.19399999999999998,0.602,0.109,2021-22
11903,Alfonzo McKinnie,CHI,29.0,200.66,97.52228000000001,Wisc.-Green Bay,USA,Undrafted,Undrafted,Undrafted,17,3.5,1.9,0.3,-12.9,0.059000000000000004,0.115,0.14800000000000002,0.457,0.034,2021-22
11904,Ben McLemore,POR,29.0,190.5,88.45044,Kansas,USA,2013,1,7,64,10.2,1.6,0.9,-13.1,0.009000000000000001,0.07200000000000001,0.207,0.5670000000000001,0.077,2021-22
11905,Alize Johnson,NOP,26.0,203.2,96.16150400000001,Missouri State,USA,2018,2,50,23,1.8,2.7,0.4,-10.6,0.156,0.20199999999999999,0.14,0.46299999999999997,0.08,2021-22
11906,Amir Coffey,LAC,25.0,200.66,95.25432,Minnesota,USA,Undrafted,Undrafted,Undrafted,69,9.0,2.9,1.8,-0.9,0.017,0.102,0.154,0.598,0.11199999999999999,2021-22
11907,BJ Johnson,ORL,26.0,198.12,90.7184,La Salle,USA,Undrafted,Undrafted,Undrafted,4,6.5,3.8,0.0,-9.2,0.091,0.122,0.16899999999999998,0.52,0.0,2021-22
11908,Ayo Dosunmu,CHI,22.0,193.04,90.7184,Illinois,USA,2021,2,38,77,8.8,2.8,3.3,-5.0,0.013000000000000001,0.09,0.138,0.596,0.16399999999999998,2021-22
11909,Avery Bradley,LAL,31.0,190.5,81.64656,Texas-Austin,USA,2010,1,19,62,6.4,2.2,0.8,-5.8,0.021,0.073,0.11900000000000001,0.55,0.046,2021-22
11910,Austin Rivers,DEN,29.0,193.04,90.7184,Duke,USA,2012,1,10,67,6.0,1.7,1.3,1.9,0.013999999999999999,0.063,0.12300000000000001,0.546,0.08199999999999999,2021-22
11911,Austin Reaves,LAL,24.0,195.58,89.357624,Oklahoma,USA,Undrafted,Undrafted,Undrafted,61,7.3,3.2,1.8,1.8,0.031,0.099,0.121,0.6,0.10099999999999999,2021-22
11912,Arnoldas Kulboka,CHA,24.0,208.28,94.800728,None,Lithuania,2018,2,55,2,0.0,0.0,0.0,-100.0,0.0,0.0,0.071,0.0,0.0,2021-22
11913,Armoni Brooks,TOR,24.0,190.5,88.45044,Houston,USA,2019,Undrafted,Undrafted,54,5.3,1.9,1.1,-3.8,0.021,0.09699999999999999,0.159,0.483,0.105,2021-22
11914,Anthony Lamb,HOU,24.0,198.12,102.965384,Vermont,USA,Undrafted,Undrafted,Undrafted,2,0.0,0.5,1.0,29.4,0.0,0.125,0.105,0.0,0.4,2021-22
11915,Anthony Gill,WAS,29.0,200.66,104.32616,Virginia,USA,Undrafted,Undrafted,Undrafted,44,4.1,1.9,0.6,5.8,0.075,0.11199999999999999,0.138,0.682,0.08,2021-22
11916,Anthony Edwards,MIN,20.0,193.04,102.0582,Georgia,USA,2020,1,1,72,21.3,4.8,3.8,4.0,0.023,0.113,0.262,0.56,0.17300000000000001,2021-22
11917,Anthony Davis,LAL,29.0,208.28,114.758776,Kentucky,USA,2012,1,1,40,23.2,9.9,3.1,-3.0,0.07200000000000001,0.196,0.263,0.578,0.147,2021-22
11918,Anfernee Simons,POR,23.0,190.5,82.10015200000001,None,USA,2018,1,24,57,17.3,2.6,3.9,-2.5,0.015,0.075,0.244,0.583,0.21899999999999997,2021-22
11919,Andrew Wiggins,GSW,27.0,200.66,89.357624,Kansas,Canada,2014,1,1,73,17.2,4.5,2.2,5.8,0.036000000000000004,0.095,0.22399999999999998,0.56,0.109,2021-22
11920,Andre Iguodala,GSW,38.0,198.12,97.52228000000001,Arizona,USA,2004,1,9,31,4.0,3.2,3.7,8.7,0.035,0.11699999999999999,0.113,0.478,0.263,2021-22
11921,Andre Drummond,BKN,28.0,208.28,126.552168,Connecticut,USA,2012,1,9,73,7.9,9.3,1.8,2.4,0.155,0.305,0.18100000000000002,0.574,0.13,2021-22
11922,Alperen Sengun,HOU,19.0,208.28,110.22285600000001,None,Turkey,2021,1,16,72,9.6,5.5,2.6,-10.2,0.08900000000000001,0.174,0.214,0.552,0.193,2021-22
11923,Carsen Edwards,DET,24.0,180.34,90.7184,Purdue,USA,2019,2,33,4,5.8,1.5,3.5,-5.9,0.022000000000000002,0.044000000000000004,0.179,0.37799999999999995,0.25,2021-22
11924,Cassius Stanley,DET,22.0,195.58,86.18248,Duke,USA,2020,2,54,9,5.8,2.1,0.4,-4.3,0.027999999999999997,0.084,0.14800000000000002,0.516,0.043,2021-22
11925,Cassius Winston,WAS,24.0,185.42,83.91452,Michigan State,USA,2020,2,53,7,2.0,0.1,1.0,-3.4,0.0,0.027000000000000003,0.184,0.5489999999999999,0.28,2021-22
11926,De'Anthony Melton,MEM,24.0,187.96,90.7184,Southern California,USA,2018,2,46,73,10.8,4.5,2.7,5.6,0.034,0.15,0.205,0.529,0.157,2021-22
11927,De'Andre Hunter,ATL,24.0,203.2,100.243832,Virginia,USA,2019,1,4,53,13.4,3.3,1.3,0.7,0.016,0.09300000000000001,0.19399999999999998,0.547,0.06,2021-22
11928,De'Aaron Fox,SAC,24.0,190.5,83.91452,Kentucky,USA,2017,1,5,59,23.2,3.9,5.6,-4.4,0.012,0.096,0.284,0.5489999999999999,0.254,2021-22
11929,Day'Ron Sharpe,BKN,20.0,205.74,120.20188,North Carolina,USA,2021,1,29,32,6.2,5.0,0.5,6.9,0.19699999999999998,0.198,0.205,0.593,0.062,2021-22
11930,Davon Reed,DEN,27.0,195.58,93.439952,Miami,USA,2017,2,32,48,4.4,2.3,1.1,0.3,0.021,0.14,0.11699999999999999,0.624,0.115,2021-22
11931,Davis Bertans,DAL,29.0,208.28,102.0582,None,Latvia,2011,2,42,56,5.6,2.1,0.6,1.0,0.013999999999999999,0.127,0.165,0.531,0.054000000000000006,2021-22
11932,Davion Mitchell,SAC,23.0,182.88,91.625584,Baylor,USA,2021,1,9,75,11.5,2.2,4.2,-6.0,0.015,0.062,0.20199999999999999,0.489,0.235,2021-22
11933,David Nwaba,HOU,29.0,195.58,99.336648,Cal Poly,USA,Undrafted,Undrafted,Undrafted,46,5.1,3.3,0.8,-9.0,0.061,0.179,0.15,0.5670000000000001,0.085,2021-22
11934,David Johnson,TOR,21.0,193.04,92.079176,Louisville,USA,2021,2,47,2,0.0,0.0,0.0,-75.0,0.0,0.0,0.14300000000000002,0.0,0.0,2021-22
11935,David Duke Jr.,BKN,22.0,193.04,92.532768,Providence,USA,Undrafted,Undrafted,Undrafted,22,4.7,3.0,0.8,0.1,0.077,0.105,0.15,0.444,0.066,2021-22
11936,Darren Collison,LAL,34.0,182.88,72.57472,UCLA,USA,2009,1,21,3,1.3,1.3,0.7,-18.4,0.0,0.091,0.077,0.28600000000000003,0.063,2021-22
